MSSV,ho va ten,lop,gioi tinh,ngay sinh,CCCD,
22120027,THAI BAO,22CTT2,nam,8/21/2004,847506352,
22120028,TRUONG DUONG BAO,22CTT2,nam,1/2/2004,127495981,
22120029,NGUYEN HUU BEN,22CTT2,nam,12/27/2004,798009519,
22120030,BUI VIET BINH,22CTT2,nam,8/8/2004,424938308,
22120031,NGUYEN HUU BINH,22CTT2,nam,7/7/2004,444801151,
22120032,TRAN THANH BINH,22CTT2,nam,1/1/2004,239849284,
22120033,PHAN CONG CHAU,22CTT2,nam,12/24/2004,313220831,
22120034,LUONG THI KIM CHI,22CTT3,nam,4/16/2004,590259385,
22120035,DUONG THIEN CHI,22CTT3,nam,3/18/2004,713566833,
22120036,DAO MINH CHIEN,22CTT3,nam,2/17/2004,654799851,
22120037,NGUYEN VAN CHIEN,22CTT3,nam,3/2/2004,638428430,
22120040,TRUONG VIET CONG,22CTT3,nam,5/22/2004,717864160,
22120041,DO QUOC CUOM,22CTT3,nam,9/29/2004,171086979,
22120042,DO NGOC CUONG,22CTT3,nam,9/10/2004,251584127,
22120043,DOAN MINH CUONG,22CTT3,nam,11/10/2004,868934180,
22120046,NGUYEN NGOC DANG,22CTT3,nam,6/1/2004,771054079,
22120047,TRAN XUAN DANG,22CTT3,nam,9/6/2004,789213249,
22120048,NGUYEN CHI DANH,22CTT3,nam,9/24/2004,223845450,
22120050,HO MANH DAO,22CTT3,nam,8/16/2004,627070651,
22120051,PHAN LONG DAO,22CTT3,nam,3/21/2004,645097117,
22120052,DANG NGOC QUOC DAT,22CTT3,nam,7/26/2004,192304355,
22120053,LE THANH DAT,22CTT3,nam,5/4/2004,757748870,
22120054,LE VAN THANH DAT,22CTT3,nam,1/26/2004,503570047,
22120056,NGUY THANH DAT,22CTT3,nam,5/3/2004,416399610,
22120057,NGUYEN TAN DAT,22CTT3,nam,5/6/2004,546910301,
22120058,NGUYEN THANH DAT,22CTT3,nam,5/7/2004,611299786,
22120059,TRAN MINH DAT,22CTT3,nam,5/8/2004,320916528,
